Order;GroupID;CenterSize;kG;ClassSizes;Rank;Nilpotent;Solvable;DerivedLength;FittingDerivedLength;FittingSize;PrimeDivisors;CommutingProb;Ratio
1;1.1;1;1;[1];1;true;true;0;0;1;[  ];1.;1.
2;2.1;2;2;[1,1];1;true;true;1;1;2;[2];1.;1.
3;3.1;3;3;[1,1,1];1;true;true;1;1;3;[3];1.;1.
4;4.1;4;4;[1,1,1,1];1;true;true;1;1;4;[2];1.;1.
4;4.2;4;4;[1,1,1,1];1;true;true;1;1;4;[2];1.;1.
5;5.1;5;5;[1,1,1,1,1];1;true;true;1;1;5;[5];1.;1.
6;6.1;1;3;[1,2,3];3;false;true;2;1;3;[2,3];0.5;2.
6;6.2;6;6;[1,1,1,1,1,1];1;true;true;1;1;6;[2,3];1.;1.
7;7.1;7;7;[1,1,1,1,1,1,1];1;true;true;1;1;7;[7];1.;1.
8;8.1;8;8;[1,1,1,1,1,1,1,1];1;true;true;1;1;8;[2];1.;1.
8;8.2;8;8;[1,1,1,1,1,1,1,1];1;true;true;1;1;8;[2];1.;1.
8;8.3;2;5;[1,1,2,2,2];2;true;true;2;2;8;[2];0.625;1.6000000000000001
8;8.4;2;5;[1,1,2,2,2];2;true;true;2;2;8;[2];0.625;1.6000000000000001
8;8.5;8;8;[1,1,1,1,1,1,1,1];1;true;true;1;1;8;[2];1.;1.
9;9.1;9;9;[1,1,1,1,1,1,1,1,1];1;true;true;1;1;9;[3];1.;1.
9;9.2;9;9;[1,1,1,1,1,1,1,1,1];1;true;true;1;1;9;[3];1.;1.
10;10.1;1;4;[1,2,2,5];3;false;true;2;1;5;[2,5];0.40000000000000002;2.5
10;10.2;10;10;[1,1,1,1,1,1,1,1,1,1];1;true;true;1;1;10;[2,5];1.;1.
11;11.1;11;11;[1,1,1,1,1,1,1,1,1,1,1];1;true;true;1;1;11;[11];1.;1.
12;12.1;2;6;[1,1,2,2,3,3];3;false;true;2;1;6;[2,3];0.5;2.
12;12.2;12;12;[1,1,1,1,1,1,1,1,1,1,1,1];1;true;true;1;1;12;[2,3];1.;1.
12;12.3;1;4;[1,3,4,4];3;false;true;2;1;4;[2,3];0.33333333333333331;3.
12;12.4;2;6;[1,1,2,2,3,3];3;false;true;2;1;6;[2,3];0.5;2.
12;12.5;12;12;[1,1,1,1,1,1,1,1,1,1,1,1];1;true;true;1;1;12;[2,3];1.;1.
13;13.1;13;13;[1,1,1,1,1,1,1,1,1,1,1,1,1];1;true;true;1;1;13;[13];1.;1.
14;14.1;1;5;[1,2,2,2,7];3;false;true;2;1;7;[2,7];0.35714285714285715;2.7999999999999998
14;14.2;14;14;[1,1,1,1,1,1,1,1,1,1,1,1,1,1];1;true;true;1;1;14;[2,7];1.;1.
15;15.1;15;15;[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1];1;true;true;1;1;15;[3,5];1.;1.
16;16.1;16;16;[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1];1;true;true;1;1;16;[2];1.;1.
16;16.2;16;16;[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1];1;true;true;1;1;16;[2];1.;1.
16;16.3;4;10;[1,1,1,1,2,2,2,2,2,2];2;true;true;2;2;16;[2];0.625;1.6000000000000001
16;16.4;4;10;[1,1,1,1,2,2,2,2,2,2];2;true;true;2;2;16;[2];0.625;1.6000000000000001
16;16.5;16;16;[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1];1;true;true;1;1;16;[2];1.;1.
16;16.6;4;10;[1,1,1,1,2,2,2,2,2,2];2;true;true;2;2;16;[2];0.625;1.6000000000000001
16;16.7;2;7;[1,1,2,2,2,4,4];3;true;true;2;2;16;[2];0.4375;2.2857142857142856
16;16.8;2;7;[1,1,2,2,2,4,4];3;true;true;2;2;16;[2];0.4375;2.2857142857142856
16;16.9;2;7;[1,1,2,2,2,4,4];3;true;true;2;2;16;[2];0.4375;2.2857142857142856
16;16.10;16;16;[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1];1;true;true;1;1;16;[2];1.;1.
16;16.11;4;10;[1,1,1,1,2,2,2,2,2,2];2;true;true;2;2;16;[2];0.625;1.6000000000000001
16;16.12;4;10;[1,1,1,1,2,2,2,2,2,2];2;true;true;2;2;16;[2];0.625;1.6000000000000001
16;16.13;4;10;[1,1,1,1,2,2,2,2,2,2];2;true;true;2;2;16;[2];0.625;1.6000000000000001
16;16.14;16;16;[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1];1;true;true;1;1;16;[2];1.;1.
17;17.1;17;17;[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1];1;true;true;1;1;17;[17];1.;1.
18;18.1;1;6;[1,2,2,2,2,9];3;false;true;2;1;9;[2,3];0.33333333333333331;3.
18;18.2;18;18;[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1];1;true;true;1;1;18;[2,3];1.;1.
18;18.3;3;9;[1,1,1,2,2,2,3,3,3];3;false;true;2;1;9;[2,3];0.5;2.
18;18.4;1;6;[1,2,2,2,2,9];3;false;true;2;1;9;[2,3];0.33333333333333331;3.
18;18.5;18;18;[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1];1;true;true;1;1;18;[2,3];1.;1.
19;19.1;19;19;[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1];1;true;true;1;1;19;[19];1.;1.
20;20.1;2;8;[1,1,2,2,2,2,5,5];3;false;true;2;1;10;[2,5];0.40000000000000002;2.5
20;20.2;20;20;[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1];1;true;true;1;1;20;[2,5];1.;1.
20;20.3;1;5;[1,4,5,5,5];3;false;true;2;1;5;[2,5];0.25;4.
20;20.4;2;8;[1,1,2,2,2,2,5,5];3;false;true;2;1;10;[2,5];0.40000000000000002;2.5
20;20.5;20;20;[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1];1;true;true;1;1;20;[2,5];1.;1.
21;21.1;1;5;[1,3,3,7,7];3;false;true;2;1;7;[3,7];0.23809523809523808;4.2000000000000002
21;21.2;21;21;[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1];1;true;true;1;1;21;[3,7];1.;1.
22;22.1;1;7;[1,2,2,2,2,2,11];3;false;true;2;1;11;[2,11];0.31818181818181818;3.1428571428571428
22;22.2;22;22;[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1];1;true;true;1;1;22;[2,11];1.;1.
23;23.1;23;23;[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1];1;true;true;1;1;23;[23];1.;1.
24;24.1;4;12;[1,1,1,1,2,2,2,2,3,3,3,3];3;false;true;2;1;12;[2,3];0.5;2.
24;24.2;24;24;[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1];1;true;true;1;1;24;[2,3];1.;1.
24;24.3;2;7;[1,1,4,4,4,4,6];3;false;true;3;2;8;[2,3];0.29166666666666669;3.4285714285714284
